name,location,price,capacity,rating,reviews,description
Omni Atlanta Hotel at Centennial Park,"Atlanta, GA",0,300+ Guests,5,37,"In the heart of downtown, across from Centennial Olympic Park, Omni Atlanta Hotel at CNN Center is the perfect Atlanta, GA, wedding venue. Their hotel banquet and catering services are ideally suited."
The Westside Warehouse,"Atlanta, GA",$$,151-200 Guests,5,4,The Westside Warehouse is located in the heart of Atlanta’s west-midtown creative district - one of the most up-and-coming locations in the city. Our converted warehouse boasts soaring cathedral ceilings.
Grand Hyatt Atlanta in Buckhead,"Atlanta, GA",$$$,300+ Guests,5,4,"Trust our tenured staff to create an experience you and your guests will never forget. Conveniently located in the heart of Atlanta and Buckhead, our hotel is an urban retreat."
SCAD Ivy Hall,"Atlanta, GA",$$,101-150 Guests,4.5,4,"SCAD Ivy Hall is a historic wedding venue situated in Atlanta, GA. Originally constructed in 1883 and designed by renowned architect Gottfried L. Norrman."
Epicurean Hotel Atlanta,"Atlanta, GA",$$$,101-150 Guests,5,3,"Epicurean Hotel Atlanta is a luxe and lavish wedding venue in Atlanta, GA. Inspired by the sleek aesthetics of today's architecture, this awe-inspiring property sets the scene for dazzling 'I Do's.'"
Intercontinental Buckhead Atlanta,"Atlanta, GA",$$$,300+ Guests,5,8,"InterContinental Buckhead Atlanta is a hotel wedding venue that combines classic charm with modern luxury. Designed to enhance relaxation and inspire awe, this City in a Forest."
THE TROLLEY BARN,"Atlanta, GA",$$,201-250 Guests,4.2,41,"This 1889 structure features hardwood floors, a patio and garden area off of the main hall, two getting ready suites, a warming kitchen and is fully climate controlled."
Renaissance Concourse Atlanta Airport Hotel,"Atlanta, GA",$$$,300+ Guests,0,0,Renaissance Concourse Atlanta Airport Hotel is an elegant wedding venue that combines luxury and convenience. This chic hotel is ideal for soon-to-be newlyweds who wish to marry with ease.
Renaissance Atlanta Midtown Hotel,Midtown Atlanta,$$$,300+ Guests,5,2,"Renaissance Atlanta Midtown Hotel is a wedding venue in Atlanta, Georgia. Located in the heart of the arts and music district, it's in a prime location to explore local restaurants, entertainment, and shops."
Wrecking Bar Brewpub,"Atlanta, GA",$$,201-250 Guests,5,9,"The Marianna at Wrecking Bar Brewpub is a historic mansion wedding venue located in Atlanta, GA. This event space is a gem in the heart of Atlanta with Victorian-era architecture."
Hotel Colee,"Atlanta, GA",$$$,251-300 Guests,0,0,Thank you for considering the Hotel Colee to host your Celebration! Awarded: 'Best Hotels in the South' - Conde Nast Traveler's Readers Choice 2021 and 'Best Hotel Development/Redevelopment' - Modern.
Callanwolde Fine Arts Center,"Atlanta, GA",$$$,151-200 Guests,4.6,38,"Callanwolde Fine Arts Center is a unique wedding venue in Atlanta, GA. With a century-long legacy, the Candler family established the property in Atlanta’s Druid Hills neighborhood as a sprawling 27,000-square-foot estate."
Swan Coach House,"Atlanta, GA",$$,101-150 Guests,5,7,"Swan Coach House is an elegant wedding venue in Atlanta, GA. Originally part of Atlanta’s famed Inman family estate, the Swan Coach House is a historic space in the residential heart of Buckhead."
Enon Ranch,"Atlanta, GA",$$,251-300 Guests,5,2,"Enon Ranch is a beautiful wedding venue located in Atlanta, GA, offering a rustic event space with countryside views and virtual tours."
Pristine Chapel Lakeside,"Jonesboro, GA",$$,251-300 Guests,4.8,103,"Pristine Chapel Lakeside is a luxe ceremony and reception venue in Jonesboro, GA, offering sweeping views and virtual tours."
The Atrium,"Norcross, GA",$$,101-150 Guests,4.9,151,"The Atrium is a contemporary wedding venue in Norcross, GA, featuring a mezzanine level overlooking a two-story glass garden."
Brick and Ivey,"Marietta, GA",$$,151-200 Guests,5,102,"Brick and Ivey is a modern wedding venue in Marietta, GA, with exposed white brick walls and separate event spaces."
Stanley House Mansion,"Marietta, GA",$$,101-150 Guests,5,49,"Stanley House Mansion is a historic wedding venue in Marietta, GA, offering classic Southern charm and elegance."
Vecoma At The Yellow River,"Snellville, GA",$$,251-300 Guests,4.9,200,"Vecoma at the Yellow River is an all-inclusive wedding venue in Snellville, GA, set on 70 acres of lush forest."
Ivy Hall,"Roswell, GA",$$$,201-250 Guests,4.9,89,"Ivy Hall is a historic wedding venue in Roswell, GA, part of the Roswell Mill property with a rich Southern history."
Kimball Hall,"Roswell, GA",$$,151-200 Guests,5,164,"Kimball Hall is a newly renovated venue in Roswell, GA, offering indoor and outdoor ceremony sites and a courtyard."
Primrose Cottage,"Roswell, GA",$$,300+ Guests,4.9,273,"Primrose Cottage is an enchanting three-story home in Roswell, GA, perfect for larger weddings and events."
Country Club of Roswell,"Roswell, GA",$$,201-250 Guests,4.7,23,"Country Club of Roswell is a versatile wedding venue in Roswell, GA, accommodating both intimate and large celebrations."
Little Gardens,"Lawrenceville, GA",$$,251-300 Guests,4.9,215,"Little Gardens is a serene wedding venue in Lawrenceville, GA, featuring a manor house and lush green grounds."
Naylor Hall,"Roswell, GA",$$,201-250 Guests,5,173,"Naylor Hall is a historic wedding venue in Roswell, GA, recently renovated with a grand and elegant atmosphere."
Flint Hill,"Norcross, GA",$$,251-300 Guests,4.8,205,"Flint Hill is a historic mansion in Norcross, GA, offering a covered pavilion and landscaped grounds."
Roswell Historic Hall,"Roswell, GA",$$,300+ Guests,4.3,49,"Roswell Historic Hall is a romantic wedding venue in Roswell, GA, ideal for various events and celebrations."
Olde Towne Special Events,"Atlanta, GA",$$,251-300 Guests,5,66,"Olde Towne Special Events is a full-service wedding venue in Atlanta, GA, offering a stylish backdrop for celebrations."
Huntcliff River Club,"Atlanta Area, GA",$$,101-150 Guests,4.9,30,"Huntcliff River Club is a charming wedding venue in Atlanta, GA, surrounded by river oaks and near the Chattahoochee River."
The Foxglove,"Marietta, GA",$$,300+ Guests,5,3,"The Foxglove is a characterful wedding venue in Marietta, GA, located in the heart of the historic district."
Roswell Mill Club,"Roswell, GA",$$,151-200 Guests,4.8,41,"Roswell Mill Club is a historic wedding venue in Roswell, GA, offering a blend of history and modern amenities."
Whitestone Reserve,"Austell, GA",$$,101-150 Guests,5,21,"Whitestone Reserve is a stunning new wedding venue in Austell, GA, featuring chandeliers and natural lighting."
The 173 Carlyle House,"Norcross, GA",$$,300+ Guests,4.9,110,"The 173 Carlyle House is a beautiful turn-of-the-century mansion in Norcross, GA, with manicured grounds."
Brumby Hall & Gardens,"Marietta, GA",$$,151-200 Guests,4,2,"Brumby Hall & Gardens is a historic wedding venue in Marietta, GA, home to the Marietta Gone with the Wind Museum."
Chattahoochee Nature Center,"Roswell, GA",$$,151-200 Guests,4.9,39,"Chattahoochee Nature Center is a wedding venue in Roswell, GA, connecting people with nature and offering virtual tours."
Eden Garden House,"Atlanta, GA",$$$,151-200 Guests,New,0,"Eden Garden House is a beautiful wedding venue in Lithonia, GA, with a garden house facility perfect for special events."
The Reserves at Hamilton Homes,"Mableton, GA",$$$,101-150 Guests,5,1,"The Reserves at Hamilton Homes is a wedding venue in Mableton, GA, offering sunset views and a spiral staircase."
Westin Atlanta Airport,"Atlanta, GA",$$$$,300+ Guests,4,4,"Westin Atlanta Airport is a convenient wedding venue in Atlanta, GA, near Hartsfield-Jackson International Airport."
Ashton Gardens Atlanta by Walters Wedding Estates,"Sugar Hill, GA",$$$,251-300 Guests,4.8,486,"Ashton Gardens Atlanta is a premier wedding venue in Sugar Hill, GA, featuring a glass chapel and lush landscapes."
The Cotton Gin at Mill Creek,"Hiram, GA",$$,151-200 Guests,5,97,"The Cotton Gin at Mill Creek is an all-inclusive wedding venue in Hiram, GA, offering a proven planning experience."
Conservatory at Waterstone,"Acworth, GA",$$,201-250 Guests,4.9,103,"Conservatory at Waterstone is a historic banquet hall in Acworth, GA, offering all-inclusive wedding solutions."
Little River Farms,"Alpharetta, GA",$$,201-250 Guests,4.9,190,"Little River Farms is a peaceful wedding venue in Alpharetta, GA, located 30 minutes from downtown Atlanta."
The Wildflower Barn at Little River Farms,"Alpharetta, GA",$,101-150 Guests,5,82,"The Wildflower Barn at Little River Farms is a historic, family-owned barn in Alpharetta, GA, perfect for intimate weddings."
Payne Corley House,"Duluth, GA",$$,151-200 Guests,5,190,A restored farmhouse offering a tranquil retreat for wedding celebrations.
SomeTheme Weddings & Events,Metro Atlanta and Surrounding Areas,$$$,51-100 Guests,5,8,"A venue with timeless elegance, perfect for those seeking a non-rustic or industrial setting."
Venue 92,"Woodstock, GA",$$,151-200 Guests,4.9,89,"A flexible venue that can accommodate various wedding visions, from romantic to party atmospheres."
Foxhall Resort,"Douglasville, GA",$$$,201-250 Guests,4.2,63,"A picturesque resort offering a full weekend wedding experience on 1,100 acres."
The Grande At Kennesaw,"Kennesaw, GA",$$,201-250 Guests,4,10,A charming Victorian-style farmhouse with stunning landscaped gardens.
TPC Sugarloaf,"Duluth, GA",$$$,201-250 Guests,5,36,An elegant clubhouse with a ceremony lawn overlooking a championship golf course.
Douglasville Conference Center,"Douglasville, GA",$$,300+ Guests,3,1,A wedding venue with elegant spaces and a downtown location.
Cherry Hollow Farm,"Chattahoochee Hills, GA",$$,151-200 Guests,5,6,"An indoor/outdoor venue with two bars, a stage, and dressing rooms."
Vines Mansion & Gardens,"Loganville, GA",$$,300+ Guests,4.6,31,"A historic mansion with gardens, allowing outside vendors."
Genesis Ballroom,Atlanta Metropolitan Area,$$,251-300 Guests,,,"An opulent wedding venue blending elegance, contemporary, and industrial styles."
Governors Towne Club,"Acworth, GA",$$,201-250 Guests,4.2,13,"An elegant venue near a golf course, close to Atlanta."
Hilton Alpharetta Atlanta,"Alpharetta, GA",$$,251-300 Guests,5,1,A new hotel with modern event spaces for weddings.
Hazlehurst House,"McDonough, GA",$$,251-300 Guests,4.8,54,A wedding venue on three acres with indoor and outdoor spaces.
Kite Manor Events & Studio,"Atlanta, Georgia and surrounding states",$$$,51-100 Guests,,,A unique venue with modern indoor and rustic outdoor spaces.
Atlanta Marriott Alpharetta,"Alpharetta, GA",$$,300+ Guests,5,2,A luxurious hotel for sophisticated wedding events.
Atlanta Cosmopolitan Event Center,"Douglasville, GA",,,,,A comprehensive event center for weddings.
St Ives Country Club,"Johns Creek, GA",$$$,201-250 Guests,4.7,14,A country club with a large clubhouse and scenic views.
Breckinridge Banquet Hall,"Duluth, GA",$$,101-150 Guests,4.8,27,An upscale venue for intimate to large wedding gatherings.
The Wheeler House and Barn,"Ball Ground, GA",$$,251-300 Guests,4.9,118,A rustic barn wedding venue with Southern charm.
Carl House,"Auburn, GA",$$$,201-250 Guests,4.8,185,A historic home with beautiful grounds for weddings.
Lanier Islands Weddings,"Buford, GA",$$$,300+ Guests,4.7,170,A venue offering various wedding options with world-class amenities.
Koury Farms Weddings & Events,"Auburn, GA",$$,151-200 Guests,5,112,A unique farm venue with comprehensive wedding services.
Vinewood Stables,"Newnan, GA",$$$,201-250 Guests,4.9,88,A historic farmhouse offering a perfect wedding setting.
In The Woods,"Rockmart, GA",$$$,201-250 Guests,5,23,"A state-of-the-art, rustic wedding venue in a secluded area."
Lillian Gardens,"Newnan, GA",$$$,151-200 Guests,5,37,A mansion and garden venue offering professional planning services.
Bradford House and Gardens,"Flowery Branch, GA",$$,101-150 Guests,5,42,A classic Southern home on seven acres near Lake Lanier.
The Venue at Stillwater Pond,"Temple, GA",$$,151-200 Guests,,,A stunning venue on 53 acres with forest and pasture views.
The Engine Room,"Monroe, GA",,300+ Guests,,,A unique wedding venue with historical elegance and modern convenience.
Four Oaks Manor,"Buford, GA",$$,101-150 Guests,4.7,50,A historic farmhouse wedding venue with gardens.
Fendley Farmstead LLC,"Canton, GA",$$,151-200 Guests,5,114,A picturesque farm venue with historic settings and pastures.
Mystic Acres Barn,"Griffin, GA",$$,251-300 Guests,0,0,"Mystic Acres Barn is a beautiful wedding venue located in Griffin, GA. Its origin story is rooted in a daughter's dream to have her wedding on her family farm."
The Gathering at Golden Creek,"Bremen, GA",$$$,201-250 Guests,0,0,"Situated on 23 acres of peaceful property, The Gathering at Golden Creek is a wedding venue located in Bremen, GA."
Hi-Def Events,GA,$$,251-300 Guests,5,11,"Hi-Def Events offers dazzling, modern, yet timeless event venue settings, ideal for your unique style!"
Cherokee County Conference Center @ The Bluffs,"Canton, GA",$$,251-300 Guests,5,3,"Over 8,000 sq ft of conference space, Four configurable conference floor areas."
"The Venue at Sharp Mountain, LLC","Jasper, GA",$$$,251-300 Guests,5,55,"Voted The Knot Best of Weddings, WeddingWire Couples' Choice, and Georgia Business Journal Best of Regional winner."
The Farm At Rivers Edge,"Dawsonville, GA",$$,51-100 Guests,0,0,"Nestled in the heart of Dawsonville, GA, The Farm at River’s Edge is the perfect destination for an unforgettable river wedding."
The Willows Farm,"Marble Hill, GA",$$,201-250 Guests,5,98,"Located in Marble Hill, GA, The Willows Farm is a country event venue that hosts weddings and other special occasions."
Sage Cottage,"Adairsville, GA",$$,151-200 Guests,4.6,11,Where Cozy Cottage Charm Meets Timeless Elegance.
The Georgia Club,"Statham, GA",$$$,251-300 Guests,4.8,5,"The Georgia Club is a one-of-a-kind wedding venue in Statham, GA."
Swan Lake Overlook,"Dawsonville, GA",$$$,251-300 Guests,5,11,"Nestled in the countryside of Dawsonville, GA, Swan Lake Overlook is a modern and elegant wedding venue."
Hightower Falls,"Cedartown, GA",$$,251-300 Guests,4.9,92,"Always dreamed of a waterfall wedding? Hightower Falls is a picturesque wedding venue located in Cedartown, Georgia."
Beautiful Beginnings Farm,"Newborn, GA",$,101-150 Guests,5,135,Hello everyone. We are pleased to introduce ourselves to you. Our names are David and Lisa.
"Thompson House & Gardens, 9 Oaks Farm, & 2425 Warehouse",Ga,$$,151-200 Guests,4.9,68,"We offer three beautiful venues: The Thompson House and Gardens which is a stunning vintage Victorian home built in 1888 in Bogart, Georgia."
The Tate House,"Tate, GA",$$$,201-250 Guests,4.9,35,"The Tate House is a historic wedding venue situated in Tate, GA, an hour's drive from downtown Atlanta."
Gaither's at Myrtle Creek Farm,"Covington, GA",$$,151-200 Guests,5,3,"Located in the rolling hills of Covington, GA, in Southern Newton County sits Gaither's at Myrtle Creek Farm, a historic setting for weddings and other special events."
Spring Lake Events,"Rockmart, GA",$$,151-200 Guests,5,20,The calm waters of our beautiful lake and the wispy willow trees framed in cattails will take your breath away at Spring Lake.
Autumn Oaks of Winder,"Winder, GA",$$,101-150 Guests,5,2,"In the heart of Winder, GA, sits a charming wedding venue, perfect for hosting your celebration."
Magnolia Creek Farms,"Adairsville, GA",$$$,300+ Guests,5,5,"Located in Adairsville, GA, Magnolia Creek Farms is a countryside setting ideal for weddings and special occasions."
Barn South,"Talmo, GA",,201-250 Guests,5,11,Welcome to Barn South. We think you'll feel at home here.
The Sixty Two,"Madison, GA",$$,151-200 Guests,5,2,"The Sixty Two is a unique wedding venue in Atlanta, GA, that sets the stage for the celebration of a lifetime."
Juliette Chapel,"Dahlonega, GA",$$,51-100 Guests,5,36,"Juliette Chapel & Events in Dahlonega, GA is a wedding venue ideal for intimate affairs."
The Chapel Athens,"Athens, GA",$$$,251-300 Guests,5,17,"Situated in Athens, GA, The Chapel Athens is a pristine downtown estate for weddings, engagements, and anniversaries."
2400 On The River,"Ranger, GA",$$$,201-250 Guests,4.9,35,"2400 On The River is a rustic riverfront wedding venue located near Calhoun, GA."
1051 Baxter,"Athens, GA",$$,251-300 Guests,5,1,"1051 Baxter is a brand new events facility in the heart of Athens, GA."
"Bogle Farm, LLC","Greenville, GA",$$$,251-300 Guests,4.9,46,"Located in Greenville, GA, Bogle Farm, LLC is an award willing, idyllic wedding venue."
Falling Waters Mountain Lodge,"Ellijay, GA",$,0-50 Guests,5,1,"Falling Waters Mountain Lodge in Ellijay, GA is a rural retreat and wedding venue."
255 Milledge | Hardeman-Sams Estate,"Athens, GA",$$$,151-200 Guests,4.9,118,"About 255 Milledge, Hardeman-Sams Estate At 255 Milledge, we believe that life’s greatest moments deserve nothing less than extraordinary celebrations."
Summit Farm Weddings,"Ellijay, GA",$$,101-150 Guests,4.9,117,"Up in the serene Blue Ridge Mountains of Ellijay, GA, sits Summit Farm Weddings, an enchanting countryside event venue with a panoramic view of the Appalachian Mountains."
Ivy & Oak,"Talking Rock, GA",$$,151-200 Guests,5,35,A breath taking venue nestled in the North Georgia mountains! This is not your average barn.
27 on Park,"Dahlonega, GA",$$$,51-100 Guests,5,3,"27 on Park is a boutique hotel and wedding venue located in downtown Dahlonega, GA."
Ott Vineyards and Winery,"Ellijay, GA",Not specified,Not specified,0,0,A family-owned vineyard on 20 acres with panoramic views.
Taylor Estate,"Rome, GA",Not specified,Up to 350 Guests,5,2,A lodge with bi-fold doors for indoor-outdoor events.
The Falls at Blue Ridge,"Blue Ridge, GA",$$$$,251-300 Guests,4.3,4,Offers indoor and outdoor spaces with rustic-luxury.
Cloverleaf Farm,"Arnoldsville, GA",$$,300+ Guests,4.9,72,A 30-acre farm with unique furnishings.
CeNita Venue at CeNita Vineyards & Winery,"Cleveland, GA",$$,151-200 Guests,5,73,Overlooks vineyards with lodging available.
Yonah Mountain Vineyards,"Cleveland, GA",$$$,201-250 Guests,4.9,49,A charming venue with indoor and outdoor spaces.
South Elm Events,"Commerce, GA",$$,101-150 Guests,5,3,Ideal for fairytale-like weddings with sunlight ceremonies.
Grant Hill Farms,"Commerce, GA",$$,201-250 Guests,5,70,An 88-acre farm perfect for weddings.
Enotah Valley Event Center,"Blairsville, GA",$$,51-100 Guests,5,5,A rustic setting for weddings.
Butler Hall Events,"Gray, GA",$$,201-250 Guests,5,1,A historic venue with modern facilities.
McEachin Farm,"Danielsville, GA",$$,101-150 Guests,5,2,A stunning farm for special events.
Overlook 55,"Young Harris, GA",$$$,51-200 Guests,5,7,Blends rustic charm with elegance.
Walnut Hill Farm,"Dalton, GA",$$,300+ Guests,4.8,16,Offers mountain views and formal gardens.
Brasstown Valley Resort & Spa,"Young Harris, GA",$$$,151-200 Guests,4.9,79,"Features golf, spa, and horseback riding."
Rustic Vows,"Mineral Bluff, GA",$$,51-100 Guests,0,0,A barn-style venue for bespoke weddings.
The Barn at Young Harris,"Young Harris, GA",$$$,151-200 Guests,5,42,Features panoramic views and Scottish cows.
Lake Rabun Hotel & Restaurant,"Lakemont, GA",$$,101-150 Guests,5,2,Has decks and fireplaces for ambiance.
The Estate at Stone Creek,"Macon, GA",$$,201-250 Guests,4.8,5,A historic estate on 100 acres.
Bend of The River,"Hiawassee, GA",$$,Not specified,0,0,A lakeside venue with a waterfall.
Currahee Club,"Toccoa, GA",$$$,101-150 Guests,5,10,Offers lake and mountain views.
The Ridges Resort on Lake Chatuge,"Hiawassee, GA",$$$,201-250 Guests,4.9,46,A lakeside resort with a grand ballroom.
Meadows at Mossy Creek,"Cleveland, GA",$$$$,251-300 Guests,5,39,A contemporary venue with indoor and outdoor spaces.
The Dogwood Barn at G5Ranch,"Milledgeville, GA",$$$,300+ Guests,5,16,A rustic barn on a 600-acre ranch.
Hawkesdene,"Andrews, NC",$$$,101-150 Guests,5,58,A private mountain estate.
Skull Shoals Park,"Washington, GA",$$,300+ Guests,0,0,An outdoor park with multiple options.
Windsong Willows,"Hayesville, NC",$$,101-150 Guests,5,3,A nature-based wedding venue.
Tryphena's Garden,"Fort Valley, GA",$$,151-200 Guests,4.9,18,A fairytale-like garden venue.
Tiger Mountain Vineyards,"Tiger, GA",$$$,101-150 Guests,5,1,"Nestled in the Blue Ridge Mountains, Tiger Mountain Vineyards offers a charming and intimate setting for your outdoor wedding."
Cloudland at McLemore Resort,"Rising Fawn, GA",$$$,251-300 Guests,4.2,6,"Your Dream Wedding, Above the Clouds At 2,300 feet above sea level, Cloudland at McLemore Resort on Lookout Mountain is a magical escape, offering breathtaking views in every direction."
Forest Hill Park,"Perry, GA",$$,51-100 Guests,4.9,21,"Have a beautiful ceremony in a picturesque 1920's white wedding chapel, get dressed in our red train car with your wedding party, have your guest enter though a covered bridge, have beautiful pictures."
Kingsland Farm,"Hawkinsville, GA",$$,151-200 Guests,5,1,"Kingsland Farm is a picturesque and reclusive wedding venue in Hawkinsville, GA, surrounded by calm rural beauty. Nestled in the heart of the countryside, our rustic wedding venue offers a perfect blend."
The Icehouse Dublin,"Dublin, GA",$$,300+ Guests,,,"The Icehouse Dublin in Dublin, GA, is a unique wedding venue. This spot is a beautifully restored, historic warehouse that blends a warm Southern style and grace with an urban and modern flair."
The Partridge Inn,"Augusta, GA",$$$,101-150 Guests,3.7,3,"The Partridge Inn is a wedding venue located in Augusta, GA. Having initially opened over a century ago, the hotel provides an elegant, timelessly beautiful setting for milestone celebrations."
Padgett's Farm,"Waynesboro, GA",$$$,251-300 Guests,5,1,"Padgett's Farm is a gem of a wedding venue nestled on 610 acres of breathtaking nature in Waynesboro, GA, 30 minutes south of Augusta, GA. If you're looking for a gorgeous setting for your country wedding."
Augusta Marriott Hotel & Suites,"Augusta, GA",$$,300+ Guests,4.3,6,"Augusta Marriott at the Convention Center is a hotel and wedding venue nestled on the Savannah River waterfront in Augusta, Georgia. Meticulously redesigned with the guest experience in mind, this pro."
Quinney Oaks Plantation,"Millen, GA",$$,300+ Guests,4.8,18,"In Millen, GA, Quinney Oaks Plantation is a wedding venue that can make every occasion feel special. From Wedding ceremonies, receptions, and rehearsal dinners to special luncheons and parties of any."
